id,price,location,type
1237241,895000.0,sliema,house
1237242,280000.0,sliema,maisonette
1237243,2390000.0,sliema,apartment
1237244,1075000.0,sliema,apartment
1237245,465000.0,sliema,apartment
1237246,189000.0,sliema,apartment
1237247,650000.0,sliema,house
1237248,370000.0,sliema,house
1237249,476000.0,sliema,house
1237250,370000.0,sliema,apartment
1237251,480000.0,sliema,house
1237252,215000.0,sliema,maisonette
1237255,335000.0,st julians,apartment
1237256,365000.0,st julians,apartment
1237257,495000.0,st julians,apartment
1237258,290000.0,st julians,apartment
1237259,575000.0,st julians,maisonette
1237260,488750.0,st julians,apartment
1237261,588000.0,st julians,apartment
1237262,525000.0,st julians,villa
1237263,189000.0,st julians,apartment
1237264,270000.0,st julians,flat
1237265,280000.0,st julians,apartment
1237266,288000.0,st julians,apartment
1237267,189000.0,st julians,apartment
1237268,298000.0,st julians,apartment
1237269,319000.0,st julians,apartment
1237270,400000.0,st julians,apartment
1237271,351000.0,st julians,apartment
1237272,189000.0,st julians,apartment
1237273,310000.0,st julians,apartment
1237274,365000.0,st julians,penthouse
1237275,189000.0,st julians,apartment
1237277,189000.0,st paul's bay,apartment
1237278,189000.0,st paul's bay,apartment
1237279,150000.0,st paul's bay,maisonette
1237280,385000.0,st paul's bay,penthouse
1237281,189000.0,st paul's bay,apartment
1237282,189000.0,st paul's bay,apartment
1237283,250000.0,st paul's bay,maisonette
1237284,112000.0,st paul's bay,maisonette
1237285,105000.0,st paul's bay,apartment
1237287,195000.0,st paul's bay,apartment
1237288,157500.0,st paul's bay,maisonette
1237291,775000.0,st venera,house
1237292,186000.0,st venera,apartment
1237295,280000.0,st venera,penthouse
1237297,235000.0,st venera,maisonette
1237298,225000.0,st venera,penthouse
1237299,286000.0,swatar,maisonette
1237300,285000.0,swatar,apartment
1237301,189000.0,swatar,apartment
1237302,340000.0,swatar,apartment
1237303,175000.0,swatar,apartment
1237304,260000.0,swatar,penthouse
1237305,189000.0,swatar,apartment
1237320,189000.0,ibraġ,apartment
1237321,395000.0,ibraġ,apartment
1237322,385000.0,ibraġ,maisonette
1237323,895000.0,ibraġ,villa
1237324,385000.0,ibraġ,maisonette
1237325,375000.0,ibraġ,apartment
1237326,189000.0,ibraġ,apartment
1237327,775000.0,ibraġ,villa
1237328,550000.0,ibraġ,maisonette
1237334,795000.0,valletta,penthouse
1237335,1100000.0,valletta,apartment
1237337,370000.0,valletta,house
1237340,771000.0,birgu,house
1237341,220000.0,birgu,apartment
1237343,180000.0,xemxija,apartment
1237344,196000.0,xemxija,apartment
1237346,370000.0,żabbar,house
1237347,399000.0,żabbar,house
1237348,155000.0,żabbar,apartment
1237349,159500.0,żabbar,penthouse
1237350,152000.0,żabbar,apartment
1237351,155000.0,żabbar,apartment
1237352,205000.0,żabbar,penthouse
